label,count
Guangdong OPPO Mobile Telecommunications Corp Ltd,2651
Qualcomm Incorporated,1229
Sharp Corporation,1103
NTT DOCOMO INC,1069
Samsung Electronics Co LTD,871
LG Electronics Inc,807
Huawei Technologies Co Ltd,742
NEC Corporation,540
vivo Mobile Communication Co Ltd,503
ZTE Corporation,499
Telefonaktiebolaget LM Ericsson,460
Kyocera Corporation,366
Nokia Technologies Oy,283
Fujitsu Limited,243
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,233
InterDigital Holdings Inc,219
QUALCOMM Inc,210
Sony Group Corporation,189
FG Innovation Company Limited,148
ASUSTeK Computer Inc,148
KDDI Corporation (TTC),129
China Mobile Communications Corporation,117
Panasonic Holdings Corporation,116
Koninklijke Philips NV,113
Alcatel Lucent,105
DENSO CORPORATION,94
Beijing Xiaomi Mobile Software Co Ltd,75
CATT(Datang),62
SHARP Corporation,56
Convida Wireless LLC,54
NEC Corporation (ARIB),50
Apple Inc,49
MediaTek Incorporated,48
Intel Corporation,48
Google Ireland Limited,48
Sun Patent Trust,46
Spectacular,43
InterDigital Patent Holdings Inc,41
Nokia Solutions and Networks Oy,39
Acer Incorporated,36
Orange,35
Ofinno LLC,35
KDDI Corporation,33
Sony Corporation,27
HTC Corporation,27
Electronics and Telecommunications Research Institute,25
InterDigital Technology Corporation,22
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,17
PanOptis Patent Management LLC,15
Mitsubishi Electric R&D Centre Europe,15
Innovative Sonic Limited,15
Spreadtrum Communications (Shanghai) Co Ltd,14
Innovative Sonic Corporation,13
Deutsche Telekom AG,13
BlackBerry UK Limited,12
TOYOTA MOTOR CORPORATION,11
New H3C Technologies Co Ltd,10
Lenovo,9
IPCom GmbH & CoKG,9
Industrial Technology Research Institute,8
Godo Kaisha IP Bridge 1,8
China Academy of Telecommunications Technology (CATT),8
Panasonic Corporation,7
InterDigital Technology Corp,7
Nokia of America Corporation,6
SK Telecom Co LTD,5
Koninklijke KPN NV,5
Mitsubishi Electric Corp,4
Xiaomi HK Limited,3
IPR Licensing Inc,3
CANON INC,3
Wistron Corporation,2
Ukpik Mobile Technologies LLC,2
Shanghai Langbo Communication Technology Co Ltd,2
IDAC Holdings Inc,2
HMD Global Oy,2
Electronics & Telecommunications Research Institute,2
Zhigu Holdings Limited,1
Telit Communications SpA,1
THALES,1
Sierra Wireless Inc,1
IDTP Holdings Inc,1
Hyundai Motor Company,1
Fraunhofer Institute for Telecommunications Heinrich Hertz Institute,1
Ericsson Telefonaktiebolaget LM,1
