label,count
Apple Inc,91954
Sun Patent Trust,83115
LG Electronics Inc,78928
Intel Corporation,76887
Qualcomm Incorporated,54986
Samsung Electronics Co LTD,41194
Huawei Technologies Co Ltd,37523
Guangdong OPPO Mobile Telecommunications Corp Ltd,33674
Panasonic Holdings Corporation,31277
ZTE Corporation,24807
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,23162
InterDigital Technology Corp,22779
NTT DOCOMO INC,22237
InterDigital Holdings Inc,16511
Motorola Mobility Inc,15468
SHARP Corporation,13949
Telefonaktiebolaget LM Ericsson,9779
Electronics and Telecommunications Research Institute,9372
Nokia Technologies Oy,9080
Motorola Mobility LLC,8035
Sharp Corporation,7874
NEC Corporation,6923
InterDigital Patent Holdings Inc,6466
Google Ireland Limited,6463
InterDigital Technology Corporation,5979
Godo Kaisha IP Bridge 1,5738
Sony Group Corporation,5172
Nokia Networks Oy,4882
Nokia Corporation,4104
Kyocera Corporation,3789
Fujitsu Limited,3728
Sony Corporation,3635
Beijing Xiaomi Mobile Software Co Ltd,3540
IPR Licensing Inc,3478
MediaTek Incorporated,3280
Optis Wireless Technology LLC,3227
China Academy of Telecommunications Technology (CATT),3151
Innovative Technology Lab Co Ltd,2683
QUALCOMM Inc,2670
Research in Motion Limited,2517
BlackBerry UK Limited,2042
Nortel Networks Ltd,2013
FG Innovation Company Limited,1987
China Mobile Communications Corporation,1971
Nokia Solutions and Networks GmbH & Co KG,1831
CATT(Datang),1693
Deutsche Telekom AG,1509
Nokia Solutions and Networks Oy,1437
Optis Cellular Technology LLC,1203
Alcatel Lucent,1173
HTC Corporation,1073
Lenovo,924
Acer Incorporated,922
Panasonic Corporation,914
KT Corporation,813
Siemens AG,776
Texas Instruments Inc,753
KDDI Corporation (TTC),716
Koninklijke Philips NV,612
Spectacular,590
Innovative Sonic Corporation,515
General Dynamics UK Limited,510
ALCATEL-LUCENT,509
Shanghai Langbo Communication Technology Co Ltd,507
Core Wireless Licensing Sarl,498
Convida Wireless LLC,476
Industrial Technology Research Institute,441
HMD Global Oy,401
Unwired Planet LLC,375
Orange,359
Pantech Co Ltd,340
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,316
Ukpik Mobile Technologies LLC,304
Telit Communications SpA,303
Innovative Sonic Ltd,302
TOYOTA MOTOR CORPORATION,288
ASUSTeK Computer Inc,288
JRD COMMUNICATION (SHENZHEN) LTD,286
MOTOROLA Inc,282
VirnetX Inc,251
vivo Mobile Communication Co Ltd,248
3G Licensing SA,246
NEC Corporation (ARIB),227
Unwired Planet International Ltd,198
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,185
Hyundai Motor Company,183
Sisvel International SA,177
KDDI Corporation,167
Freescale Semiconductor Inc,165
THALES,162
Microsoft Corp,140
Mitsubishi Electric R&D Centre Europe,136
Xiaomi HK Limited,132
Wi-Fi One LLC,123
THALES SA,123
Vodafone Group Plc,112
TCT Mobile Limited,100
Alcatel-Lucent USA Inc,100
Sierra Wireless Inc,92
Institute for Information Industry,92
Conversant Wireless Licensing SARL,85
CASSIDIAN,85
Spreadtrum Communications (Shanghai) Co Ltd,83
Infineon Technologies,80
Zhigu Holdings Limited,78
Nokia of America Corporation,78
Marvell Switzerland SARL,76
Ofinno LLC,74
BlackBerry LTD,64
Alcatel-Lucent Deutschland AG,62
Electronics & Telecommunications Research Institute,60
Xiaomi Inc,51
Toshiba Corporation,48
-1,48
Telecom Italia SpA,37
SHENZHEN TRANSSION HOLDINGS COLTD,36
AT&T Intellectual Property II LLC,36
SHENZEN TCL NEW TECHNOLOGY CO LTD,33
DENSO CORPORATION,32
Bräu Verwaltungsgesellschaft mit beschränkter Haftung,28
Koninklijke KPN NV,27
Hubei Xingji Meizu Group Co Ltd,24
LENOVO,23
Wistron Corporation,22
Renesas Mobile Corporation,20
Purplevine Innovation Company Limited,20
Alcatel-Lucent Shanghai Bell Co Ltd,19
Innovative Sonic Limited,16
Vringo Infrastructure Inc,13
Vodafone IP Licensing Limited,13
BROADCOM CORPORATION,11
Alcatel Lucent Worldwide except Alcatel Lucent and Alcatel Lucent Shanghai Bell Co Ltd in China,11
Xiaomi Communications CoLtd,10
Satelio IoT Services,10
iCODING Technology Inc,9
Hewlett-Packard Enterprise,8
Fraunhofer Institute for Telecommunications Heinrich Hertz Institute,8
Apogee Networks LLC,8
Nokia Solutions (Shanghai) Co Ltd,7
Ruijie Network Co Ltd,6
AT&T,6
A2Z Development Center Inc (d/b/a Lab126),6
TCL Communication Technology Holdings Limited,5
SK Telecom Co LTD,4
Inventec appliance corporation,3
Inventec Appliances (Jiangning) Corporation,2
Gemalto SA,2
Cisco Systems Inc,2
