label,count
Sharp Corporation,20345
"Guangdong OPPO Mobile Telecommunications Corp., Ltd",19933
Qualcomm Incorporated,19289
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC.,13102
"Huawei Technologies Co., Ltd.",6118
SHARP Corporation,5389
LG Electronics Inc.,4695
NEC Corporation,3573
InterDigital Technology Corp.,3484
Nokia Corporation,3175
"Samsung Electronics Co, LTD",3129
"vivo Mobile Communication Co., Ltd",2902
ZTE Corporation,2533
"InterDigital Holdings, Inc.",2464
"NTT DOCOMO, INC.",2330
QUALCOMM Inc,2261
Telefonaktiebolaget LM Ericsson,1617
Coding Technologies AB,1320
Kyocera Corporation,1291
Apple Inc.,1261
Intel Corporation,1195
Nokia Technologies Oy,1192
Sun Patent Trust,1126
"NTT, Inc.",998
Motorola Mobility Inc.,883
Fujitsu Limited.,824
"Convida Wireless, LLC",799
FG Innovation Company Limited,766
Electronics and Telecommunications Research Institute,765
Sony Group Corporation,760
Mitsubishi Electric Corp,623
China Mobile Communications Corporation,564
Panasonic Holdings Corporation,500
KDDI Corporation (TTC),486
ASUSTeK Computer Inc.,429
Alcatel Lucent,371
Google Ireland Limited,369
Koninklijke Philips N.V.,343
Mitsubishi Electric R&D Centre Europe,334
BlackBerry UK Limited,320
InterDigital Technology Corporation,313
"InterDigital Patent Holdings, Inc.",313
Fraunhofer Institut für Integrierte Schaltungen IIS,268
DENSO CORPORATION,251
Spectacular,233
Research in Motion Limited,232
Orange,232
KDDI Corporation,202
Huawei Technologies Co. Ltd.,198
NEC Corporation (ARIB),197
"Honor Device Co., Ltd.",191
"Beijing Xiaomi Mobile Software Co., Ltd",186
MediaTek Incorporated,182
Acer Incorporated,161
VoiceAge Corporation,159
Siemens AG,157
Electronics & Telecommunications Research Institute,154
Dolby International AB,150
InterDigital Patent Holdings Inc.,148
HTC Corporation,148
CATT(Datang),147
Apple (UK) Limited,144
Lenovo (Beijing) Ltd,127
"VirnetX, Inc.",125
Nokia Solutions and Networks Oy,121
"Ofinno, LLC",120
Nokia Solutions and Networks GmbH & Co. KG,108
Koninklijke KPN N.V.,108
PanOptis Patent Management LLC,101
Sony Corporation,99
"SK Telecom Co., LTD.",84
Dolby Laboratories Licensing Corporation,80
Godo Kaisha IP Bridge 1,77
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung e.V.,76
Lenovo,74
Deutsche Telekom AG,70
TOYOTA MOTOR CORPORATION,69
Panasonic Corporation,60
Nippon Telegraph and Telephone Corporation (NTT),56
Nokia Networks Oy,51
Fujitsu Limited,51
Innovative Sonic Corporation,43
3G Licensing SA,42
Innovative Sonic Limited,41
MOTOROLA Inc,40
China Academy of Telecommunications Technology (CATT),39
Core Wireless Licensing S.a.r.l,37
IPCom GmbH & Co.KG,36
Industrial Technology Research Institute,31
"Optis Wireless Technology, LLC",28
"Spreadtrum Communications (Shanghai) Co., Ltd.",26
"IPR Licensing, Inc.",24
Toshiba Corporation,21
"New H3C Technologies Co., Ltd.",20
"Rakuten Mobile, Inc",19
Nokia of America Corporation,19
BENQ Corporation,18
Wistron Corporation,16
Koninklijke Philips Electronics N.V.,16
Conversant Wireless Licensing SARL,15
Nortel Networks Ltd,14
Zhigu Holdings Limited,13
ALCATEL-LUCENT,12
"IDAC Holdings, Inc.",10
Ukpik Mobile Technologies LLC,9
Hyundai Motor Company,9
"Beijing Xiaomi Mobile Software Co., Ltd.",9
"Yulong Computer Telecommunication Scientific (Shenzhen) Co., Ltd.",8
"Sun Microsystems, Inc.",8
"Shanghai Langbo Communication Technology Co., Ltd.",8
Motorola Mobility LLC,8
HMD Global Oy,8
Xiaomi H.K. Limited,7
Via Licensing Corporation,6
"Huawei Technologies Co., Ltd",6
"CANON, INC.",6
,6
Sisvel International SA,5
JRD COMMUNICATION (SHENZHEN) LTD,5
"Vringo Infrastructure, Inc",4
"Unwired Planet, LLC",4
Microsoft Corp.,4
"CloudMinds Robotics Co., Ltd.",4
BlackBerry LTD,4
Vodafone Group Services Limited (VGSL),3
Telit Communications S.p.A.,3
Sisvel International S.A.,3
Siemens Aktiengesellschaft,3
Ericsson Telefonaktiebolaget LM,3
Unwired Planet International Ltd,2
Telecom Italia S.p.A.,2
"IDTP Holdings, Inc.",2
Hewlett-Packard Enterprise,2
General Dynamics UK Limited,2
"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",2
Alcatel-Lucent USA Inc.,2
Alcatel-Lucent Deutschland AG,2
THALES,1
Sierra Wireless Inc,1
NTT DOCOMO INC.,1
Innovative Sonic Ltd.,1
BT Group Plc,1
"Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co., Ltd.",1
