label,count
InterDigital Technology Corp.,67143
Qualcomm Incorporated,38283
Nokia Corporation,7261
Motorola Mobility Inc.,5918
MOTOROLA Inc,4413
Intel Corporation,3807
"Samsung Electronics Co, LTD",2373
NEC Corporation,1949
Coding Technologies AB,1800
Apple Inc.,1507
Siemens AG,1388
Sun Patent Trust,1182
Koninklijke Philips Electronics N.V.,995
"InterDigital Holdings, Inc.",973
LG Electronics Inc.,878
InterDigital Patent Holdings Inc.,873
"NTT DOCOMO, INC.",796
Tantivy Communications Inc.,756
Telefonaktiebolaget LM Ericsson,728
"Huawei Technologies Co., Ltd.",606
Nokia Technologies Oy,596
Research in Motion Limited,586
"NTT, Inc.",574
Nokia Solutions and Networks GmbH & Co. KG,540
IPR Licensing Inc.,531
Fujitsu Limited.,477
InterDigital Technology Corporation,474
Core Wireless Licensing S.a.r.l,445
Alcatel,410
"InterDigital Patent Holdings, Inc.",406
Kyocera Corporation,404
"VirnetX, Inc.",375
"Guangdong OPPO Mobile Telecommunications Corp., Ltd",349
Airbiquity Incorporated,332
Mitsubishi Electric Corp,319
Panasonic Holdings Corporation,310
Apple (UK) Limited,288
Sharp Corporation,278
Orange,271
Fraunhofer Institut für Integrierte Schaltungen IIS,268
Godo Kaisha IP Bridge 1,238
BlackBerry UK Limited,223
ZTE Corporation,208
Koninklijke KPN N.V.,208
SHARP Corporation,198
"Convida Wireless, LLC",169
HTC Corporation,164
Innovative Sonic Ltd.,163
VoiceAge Corporation,159
Nokia Networks Oy,144
"Mitsubishi Electric Telecom Europe, S.A",142
Sony Corporation,139
Alcatel Lucent,134
Sony Group Corporation,129
ALCATEL-LUCENT,123
"Optis Wireless Technology, LLC",110
Nortel Networks Ltd,100
3G Licensing SA,99
Evolium S.A.S,96
QUALCOMM Inc,91
Texas Instruments Inc.,82
Nokia Solutions and Networks Oy,67
General Dynamics UK Limited,67
Koninklijke Philips N.V.,62
Motorola Mobility LLC,52
Conversant Wireless Licensing SARL,45
Panasonic Corporation,37
Google Ireland Limited,35
Sisvel International SA,34
Deutsche Telekom AG,33
Hughes Network Systems Inc,32
Toshiba Corporation,30
Electronics and Telecommunications Research Institute,28
KDDI Corporation (TTC),23
ASUSTeK Computer Inc.,22
Mitsubishi Electric Information Technology Centre Europe B.V.,20
FG Innovation Company Limited,20
"Honor Device Co., Ltd.",19
NEC Corporation (ARIB),18
BENQ Corporation,18
Zhigu Holdings Limited,17
"SK Telecom Co., LTD.",17
"Unwired Planet, LLC",16
"Beijing Xiaomi Mobile Software Co., Ltd",16
,14
Huawei Technologies Co. Ltd.,13
China Mobile Communications Corporation,13
Alcatel-Lucent Deutschland AG,13
Spectacular,12
"Huawei Technologies Co., Ltd",12
China Academy of Telecommunications Technology (CATT),12
Siemens Aktiengesellschaft,11
Microsoft Corp.,11
Via Licensing Corporation,8
"Sun Microsystems, Inc.",8
Sisvel International S.A.,8
Renesas Mobile Corporation,8
Infineon Technologies,8
Hewlett-Packard Enterprise,8
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung e.V.,8
DENSO CORPORATION,8
Innovative Sonic Corporation,7
"Wi-Fi One, LLC",6
Unwired Planet International Ltd,6
"Rakuten Mobile, Inc",6
BlackBerry LTD,6
"Vringo Infrastructure, Inc",5
Marvell Switzerland S.A.R.L,5
Lenovo (Beijing) Ltd,5
Alcatel-Lucent USA Inc.,5
"AT&T Intellectual Property II, LLC",5
Xiaomi H.K. Limited,4
BROADCOM CORPORATION,4
Vodafone Group Services Limited (VGSL),3
TOYOTA MOTOR CORPORATION,3
"Optis Cellular Technology, LLC",3
NTT DOCOMO INC.,3
MediaTek Incorporated,3
Innovative Sonic Limited,3
Industrial Technology Research Institute,3
AePONA LTD,3
Acer Incorporated,3
"VID SCALE, INC.",2
Telecom Italia S.p.A.,2
Mitsubishi Electric R&D Centre Europe,2
Lenovo,2
JRD COMMUNICATION (SHENZHEN) LTD,2
"IoT Holdings, Inc.",2
IPCom GmbH & Co.KG,2
"Dilithium Networks, Inc.",2
CATT(Datang),2
BT Group Plc,2
"Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co., Ltd.",2
AT&T,2
Telit Communications S.p.A.,1
Sierra Wireless Inc,1
"Pantech Co., Ltd",1
Panasonic Mobile Communications,1
KDDI Corporation,1
Gemplus SA,1
