label,count
"Guangdong OPPO Mobile Telecommunications Corp., Ltd",294284
Qualcomm Incorporated,194438
"Huawei Technologies Co., Ltd.",173257
Sharp Corporation,121579
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC.,117531
LG Electronics Inc.,106349
"Samsung Electronics Co, LTD",85198
ZTE Corporation,71643
"vivo Mobile Communication Co., Ltd",49113
Apple Inc.,41588
Nokia Corporation,39642
Nokia Technologies Oy,34882
Telefonaktiebolaget LM Ericsson,32223
Intel Corporation,30311
InterDigital Technology Corp.,26960
SHARP Corporation,25628
"InterDigital Holdings, Inc.",25052
QUALCOMM Inc,23138
NEC Corporation,19335
China Mobile Communications Corporation,19140
Electronics and Telecommunications Research Institute,18019
"NTT DOCOMO, INC.",14154
CATT(Datang),13511
"Beijing Xiaomi Mobile Software Co., Ltd",12075
Electronics & Telecommunications Research Institute,11674
MediaTek Incorporated,10365
Huawei Technologies Co. Ltd.,9981
"Shanghai Langbo Communication Technology Co., Ltd.",9723
FG Innovation Company Limited,9502
"Beijing Xiaomi Mobile Software Co., Ltd.",8636
Lenovo (Beijing) Ltd,8589
Coding Technologies AB,8349
Sony Group Corporation,8345
Motorola Mobility Inc.,7975
Sun Patent Trust,6736
Fujitsu Limited.,6239
"Honor Device Co., Ltd.",5882
"NTT, Inc.",5848
"Ofinno, LLC",5826
Google Ireland Limited,5721
Lenovo,5571
BlackBerry UK Limited,5139
ASUSTeK Computer Inc.,4974
"Convida Wireless, LLC",4965
Nokia Solutions and Networks Oy,4137
Fraunhofer Institut für Integrierte Schaltungen IIS,3999
Kyocera Corporation,3742
Koninklijke Philips N.V.,3446
Panasonic Holdings Corporation,3205
Research in Motion Limited,3062
Orange,2972
Alcatel Lucent,2929
Mitsubishi Electric Corp,2707
Spectacular,2670
VoiceAge Corporation,2480
"Spreadtrum Communications (Shanghai) Co., Ltd.",2450
China Academy of Telecommunications Technology (CATT),2399
"InterDigital Patent Holdings, Inc.",2383
InterDigital Technology Corporation,2297
Hyundai Motor Company,2206
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung e.V.,2159
InterDigital Patent Holdings Inc.,2133
Quectel Wireless Solutions Co. Ltd,2100
Acer Incorporated,1999
HTC Corporation,1932
Mitsubishi Electric R&D Centre Europe,1919
Deutsche Telekom AG,1847
KT Corporation,1783
KDDI Corporation (TTC),1700
Siemens AG,1673
Dolby International AB,1564
Industrial Technology Research Institute,1544
"SHENZHEN TRANSSION HOLDINGS CO.,LTD.",1540
Apple (UK) Limited,1373
Koninklijke KPN N.V.,1327
"VirnetX, Inc.",1295
DENSO CORPORATION,1272
Nokia Solutions and Networks GmbH & Co. KG,1269
"Apogee Networks, LLC",1228
Dolby Laboratories Licensing Corporation,1168
Godo Kaisha IP Bridge 1,901
PanOptis Patent Management LLC,849
Nokia Networks Oy,837
Sony Corporation,835
TOYOTA MOTOR CORPORATION,831
NEC Corporation (ARIB),794
"Innovative Technology Lab Co., Ltd",790
KDDI Corporation,717
"Yulong Computer Telecommunication Scientific (Shenzhen) Co., Ltd.",682
"Optis Wireless Technology, LLC",517
Fujitsu Limited,494
"IDAC Holdings, Inc.",486
"SK Telecom Co., LTD.",479
Innovative Sonic Corporation,470
Ukpik Mobile Technologies LLC,443
Core Wireless Licensing S.a.r.l,433
IPCom GmbH & Co.KG,401
TCT Mobile Limited,400
SHENZEN TCL NEW TECHNOLOGY CO. LTD,391
Panasonic Corporation,385
3G Licensing SA,380
"IPR Licensing, Inc.",360
MOTOROLA Inc,355
Innovative Sonic Limited,301
Nokia of America Corporation,287
Xiaomi H.K. Limited,264
Zhigu Holdings Limited,242
Nippon Telegraph and Telephone Corporation (NTT),224
Purplevine Innovation Company Limited,217
Sierra Wireless Inc,208
Wistron Corporation,206
HMD Global Oy,197
Via Licensing Corporation,189
Vodafone Group Plc,179
"New H3C Technologies Co., Ltd.",174
