label,count
Huawei Technologies Co Ltd,1579
Qualcomm Incorporated,983
Samsung Electronics Co LTD,847
ZTE Corporation,767
Telefonaktiebolaget LM Ericsson,749
Nokia Technologies Oy,681
InterDigital Technology Corp,663
Nokia Corporation,645
NEC Corporation,394
LG Electronics Inc,380
Motorola Mobility Inc,332
China Mobile Communications Corporation,294
NTT DOCOMO INC,252
Apple Inc,246
Intel Corporation,240
Siemens AG,217
Nokia Networks Oy,202
Electronics and Telecommunications Research Institute,161
Guangdong OPPO Mobile Telecommunications Corp Ltd,153
InterDigital Patent Holdings Inc,150
Research in Motion Limited,147
Sharp Corporation,142
MediaTek Incorporated,133
Nokia Solutions and Networks Oy,128
Orange,118
InterDigital Holdings Inc,112
MOTOROLA Inc,111
Alcatel Lucent,108
Kyocera Corporation,93
HTC Corporation,91
Koninklijke Philips Electronics NV,86
Deutsche Telekom AG,78
Nokia Solutions and Networks GmbH & Co KG,73
Panasonic Holdings Corporation,71
Beijing Xiaomi Mobile Software Co Ltd,71
BlackBerry UK Limited,70
China Academy of Telecommunications Technology (CATT),68
Core Wireless Licensing Sarl,65
Sony Corporation,63
Fraunhofer Institut für Integrierte Schaltungen IIS,61
Google Ireland Limited,57
Fujitsu Limited,55
Sony Group Corporation,49
CATT(Datang),43
Xiaomi Inc,37
QUALCOMM Inc,35
Alcatel,34
SHARP Corporation,32
InterDigital Technology Corporation,32
ALCATEL-LUCENT,31
Microsoft Corp,28
Innovative Sonic Ltd,28
Koninklijke Philips NV,24
Sisvel International SA,23
Ofinno LLC,23
FG Innovation Company Limited,22
Texas Instruments Inc,21
General Dynamics UK Limited,21
VoiceAge Corporation,20
Koninklijke KPN NV,20
Nortel Networks Ltd,18
Panasonic Corporation,17
Lenovo,17
IPR Licensing Inc,17
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,17
Convida Wireless LLC,17
Airbiquity Incorporated,17
NEC Corporation (ARIB),16
Vodafone Group Plc,15
Tantivy Communications Inc,15
Godo Kaisha IP Bridge 1,15
Industrial Technology Research Institute,14
Sun Patent Trust,13
Renesas Mobile Corporation,13
Motorola Mobility LLC,13
3G Licensing SA,12
Mitsubishi Electric Corp,11
Spreadtrum Communications (Shanghai) Co Ltd,10
KDDI Corporation (TTC),10
Toshiba Corporation,9
Siemens Aktiengesellschaft,9
DENSO CORPORATION,9
Evolium SAS,8
Acer Incorporated,8
ASUSTeK Computer Inc,8
Sierra Wireless Inc,7
Shanghai Langbo Communication Technology Co Ltd,7
SHENZHEN TRANSSION HOLDINGS COLTD,7
Optis Wireless Technology LLC,6
Mitsubishi Electric Information Technology Centre Europe BV,6
Infineon Technologies,6
Hughes Network Systems Inc,6
Zhigu Holdings Limited,5
Xiaomi HK Limited,5
Nokia of America Corporation,5
Innovative Sonic Corporation,5
Apple (UK) Limited,5
Alcatel-Lucent Deutschland AG,5
vivo Mobile Communication Co Ltd,4
Vodafone IP Licensing Limited,4
VirnetX Inc,4
TOYOTA MOTOR CORPORATION,4
Spectacular,4
Marvell Switzerland SARL,4
Innovative Technology Lab Co Ltd,4
IPCom GmbH & CoKG,4
BlackBerry LTD,4
Alcatel-Lucent USA Inc,4
Unwired Planet LLC,3
Sun Microsystems Inc,3
HMD Global Oy,3
Coding Technologies AB,3
BENQ Corporation,3
AT&T Intellectual Property II LLC,3
Vimatix,2
Telecom Italia SpA,2
SHENZEN TCL NEW TECHNOLOGY CO LTD,2
Pantech Co Ltd,2
Optis Cellular Technology LLC,2
Nokia Solutions (Shanghai) Co Ltd,2
Institute for Information Industry,2
Innovative Sonic Limited,2
Hewlett-Packard Enterprise,2
Gemalto SA,2
Dilithium Networks Inc,2
Conversant Wireless Licensing SARL,2
BROADCOM CORPORATION,2
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,2
Wistron Corporation,1
Wi-Fi One LLC,1
Vringo Infrastructure Inc,1
VODAFONE LTD,1
VID SCALE INC,1
Unwired Planet International Ltd,1
TriSpace Technologies (OPC) Pvt Ltd,1
Telit Communications SpA,1
THALES SA,1
THALES,1
TDF SAS,1
Panasonic Mobile Communications,1
Mitsubishi Electric Telecom Europe SA,1
Mitsubishi Electric R&D Centre Europe,1
KT Corporation,1
KDDI Corporation,1
JRD COMMUNICATION (SHENZHEN) LTD,1
Gemplus SA,1
Comba Network Systems Company Limited,1
Apogee Networks LLC,1
Anirudh Singh And Company,1
AePONA LTD,1
AUMOVIO Germany GmbH,1
AT&T,1
-1,1
